21/07/2013 16:25:32.605302 [scalapnt_fractal_1000_cellbound_lp] finalized_level 8
21/07/2013 16:25:32.607783 [scalapnt_fractal_1000_cellbound_lp] initialized_level 7
21/07/2013 16:25:32.617169 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 7
21/07/2013 16:25:32.618406 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 7
21/07/2013 16:25:32.619555 [scalapnt_fractal_1000_cellbound_lp] finalized_level 7
21/07/2013 16:25:32.622065 [scalapnt_fractal_1000_cellbound_lp] initialized_level 6
21/07/2013 16:25:32.632142 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 6
21/07/2013 16:25:32.638508 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 6
21/07/2013 16:25:32.639671 [scalapnt_fractal_1000_cellbound_lp] finalized_level 6
21/07/2013 16:25:32.642227 [scalapnt_fractal_1000_cellbound_lp] initialized_level 5
21/07/2013 16:25:32.651419 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 5
21/07/2013 16:25:32.657752 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 5
21/07/2013 16:25:32.658923 [scalapnt_fractal_1000_cellbound_lp] finalized_level 5
21/07/2013 16:25:32.661375 [scalapnt_fractal_1000_cellbound_lp] initialized_level 4
21/07/2013 16:25:32.668811 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 4
21/07/2013 16:25:32.670070 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 4
21/07/2013 16:25:32.671232 [scalapnt_fractal_1000_cellbound_lp] finalized_level 4
21/07/2013 16:25:32.673750 [scalapnt_fractal_1000_cellbound_lp] initialized_level 3
21/07/2013 16:25:32.682005 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 3
21/07/2013 16:25:32.688034 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 3
21/07/2013 16:25:32.689219 [scalapnt_fractal_1000_cellbound_lp] finalized_level 3
21/07/2013 16:25:32.691734 [scalapnt_fractal_1000_cellbound_lp] initialized_level 2
21/07/2013 16:25:32.698866 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 2
21/07/2013 16:25:32.705400 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 2
21/07/2013 16:25:32.706609 [scalapnt_fractal_1000_cellbound_lp] finalized_level 2
21/07/2013 16:25:32.709261 [scalapnt_fractal_1000_cellbound_lp] initialized_level 1
21/07/2013 16:25:32.715020 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 1
21/07/2013 16:25:32.716318 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 1
21/07/2013 16:25:32.717530 [scalapnt_fractal_1000_cellbound_lp] finalized_level 1
21/07/2013 16:25:32.720077 [scalapnt_fractal_1000_cellbound_lp] initialized_level 0
21/07/2013 16:25:32.726435 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 0
21/07/2013 16:25:32.733342 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 0
21/07/2013 16:25:32.734566 [scalapnt_fractal_1000_cellbound_lp] finalized_level 0
21/07/2013 16:25:32.794096 [scalapnt_fractal_1000_cellbound_lp] COMMIT
21/07/2013 16:25:32.794574 [scalapnt_fractal_1000_proximity_lp] BEGIN_TRANSACTION
21/07/2013 16:25:38.707873 [scalapnt_fractal_1000_proximity_lp] initialized
21/07/2013 16:25:38.708239 [scalapnt_fractal_1000_proximity_lp] solver "lp"
21/07/2013 16:25:38.708563 [scalapnt_fractal_1000_proximity_lp] constraints "proximity(10,)"
21/07/2013 16:25:38.710392 [scalapnt_fractal_1000_proximity_lp] inputstats {'geometry_types': ['POINT'], 'input': '(select * from pnt_30m_synthetic where x_order <= 1000) t', 'total_rank': 508.37590275797993, 'total_recs': 1000L}
21/07/2013 16:25:38.712995 [scalapnt_fractal_1000_proximity_lp] initialized_level 9
21/07/2013 16:25:38.821638 [scalapnt_fractal_1000_proximity_lp] found_conflicts 9
21/07/2013 16:25:58.233544 [scalapnt_fractal_1000_proximity_lp] resolved_conflicts 9
21/07/2013 16:25:58.234854 [scalapnt_fractal_1000_proximity_lp] finalized_level 9
21/07/2013 16:25:58.237379 [scalapnt_fractal_1000_proximity_lp] initialized_level 8
21/07/2013 16:25:58.240494 [scalapnt_fractal_1000_proximity_lp] found_conflicts 8
21/07/2013 16:25:58.247586 [scalapnt_fractal_1000_proximity_lp] resolved_conflicts 8
21/07/2013 16:25:58.248742 [scalapnt_fractal_1000_proximity_lp] finalized_level 8
21/07/2013 16:25:58.251237 [scalapnt_fractal_1000_proximity_lp] initialized_level 7
21/07/2013 16:25:58.254532 [scalapnt_fractal_1000_proximity_lp] found_conflicts 7
21/07/2013 16:25:58.260611 [scalapnt_fractal_1000_proximity_lp] resolved_conflicts 7
21/07/2013 16:25:58.261765 [scalapnt_fractal_1000_proximity_lp] finalized_level 7
21/07/2013 16:25:58.264168 [scalapnt_fractal_1000_proximity_lp] initialized_level 6
21/07/2013 16:25:58.267757 [scalapnt_fractal_1000_proximity_lp] found_conflicts 6
21/07/2013 16:25:58.272294 [scalapnt_fractal_1000_proximity_lp] resolved_conflicts 6
21/07/2013 16:25:58.273461 [scalapnt_fractal_1000_proximity_lp] finalized_level 6
21/07/2013 16:25:58.275966 [scalapnt_fractal_1000_proximity_lp] initialized_level 5
