21/07/2013 22:49:15.912333 [scalapnt_fractal_1000_proximity_heuristic] initialized_level 0
21/07/2013 22:49:15.914870 [scalapnt_fractal_1000_proximity_heuristic] found_conflicts 0
21/07/2013 22:49:15.916111 [scalapnt_fractal_1000_proximity_heuristic] resolved_conflicts 0
21/07/2013 22:49:15.917349 [scalapnt_fractal_1000_proximity_heuristic] finalized_level 0
21/07/2013 22:49:15.972250 [scalapnt_fractal_1000_proximity_heuristic] COMMIT
21/07/2013 22:49:15.972774 [scalapnt_fractal_1000_cellbound_lp] BEGIN_TRANSACTION
21/07/2013 22:49:21.883678 [scalapnt_fractal_1000_cellbound_lp] initialized
21/07/2013 22:49:21.884035 [scalapnt_fractal_1000_cellbound_lp] solver "lp"
21/07/2013 22:49:21.884344 [scalapnt_fractal_1000_cellbound_lp] constraints "cellbound(16,)"
21/07/2013 22:49:21.886194 [scalapnt_fractal_1000_cellbound_lp] inputstats {'geometry_types': ['POINT'], 'input': '(select * from pnt_30m_synthetic where x_order <= 1000) t', 'total_rank': 517.47182659991086, 'total_recs': 1000L}
21/07/2013 22:49:21.888627 [scalapnt_fractal_1000_cellbound_lp] initialized_level 9
21/07/2013 22:49:22.075376 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 9
21/07/2013 22:49:22.965530 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 9
21/07/2013 22:49:22.966834 [scalapnt_fractal_1000_cellbound_lp] finalized_level 9
21/07/2013 22:49:22.969358 [scalapnt_fractal_1000_cellbound_lp] initialized_level 8
21/07/2013 22:49:22.980740 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 8
21/07/2013 22:49:22.987619 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 8
21/07/2013 22:49:22.988790 [scalapnt_fractal_1000_cellbound_lp] finalized_level 8
21/07/2013 22:49:22.991205 [scalapnt_fractal_1000_cellbound_lp] initialized_level 7
21/07/2013 22:49:23.000617 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 7
21/07/2013 22:49:23.001864 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 7
21/07/2013 22:49:23.003035 [scalapnt_fractal_1000_cellbound_lp] finalized_level 7
21/07/2013 22:49:23.005497 [scalapnt_fractal_1000_cellbound_lp] initialized_level 6
21/07/2013 22:49:23.015631 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 6
21/07/2013 22:49:23.022398 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 6
21/07/2013 22:49:23.023554 [scalapnt_fractal_1000_cellbound_lp] finalized_level 6
21/07/2013 22:49:23.025993 [scalapnt_fractal_1000_cellbound_lp] initialized_level 5
21/07/2013 22:49:23.035130 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 5
21/07/2013 22:49:23.041145 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 5
21/07/2013 22:49:23.042310 [scalapnt_fractal_1000_cellbound_lp] finalized_level 5
21/07/2013 22:49:23.044804 [scalapnt_fractal_1000_cellbound_lp] initialized_level 4
21/07/2013 22:49:23.052413 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 4
21/07/2013 22:49:23.053705 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 4
21/07/2013 22:49:23.054898 [scalapnt_fractal_1000_cellbound_lp] finalized_level 4
21/07/2013 22:49:23.057386 [scalapnt_fractal_1000_cellbound_lp] initialized_level 3
21/07/2013 22:49:23.065524 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 3
21/07/2013 22:49:23.071538 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 3
21/07/2013 22:49:23.072710 [scalapnt_fractal_1000_cellbound_lp] finalized_level 3
21/07/2013 22:49:23.075275 [scalapnt_fractal_1000_cellbound_lp] initialized_level 2
21/07/2013 22:49:23.082436 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 2
21/07/2013 22:49:23.089013 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 2
21/07/2013 22:49:23.090210 [scalapnt_fractal_1000_cellbound_lp] finalized_level 2
21/07/2013 22:49:23.092825 [scalapnt_fractal_1000_cellbound_lp] initialized_level 1
21/07/2013 22:49:23.098505 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 1
21/07/2013 22:49:23.099766 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 1
21/07/2013 22:49:23.100958 [scalapnt_fractal_1000_cellbound_lp] finalized_level 1
21/07/2013 22:49:23.103456 [scalapnt_fractal_1000_cellbound_lp] initialized_level 0
21/07/2013 22:49:23.109760 [scalapnt_fractal_1000_cellbound_lp] found_conflicts 0
21/07/2013 22:49:23.115844 [scalapnt_fractal_1000_cellbound_lp] resolved_conflicts 0
21/07/2013 22:49:23.117055 [scalapnt_fractal_1000_cellbound_lp] finalized_level 0
21/07/2013 22:49:23.194025 [scalapnt_fractal_1000_cellbound_lp] COMMIT
21/07/2013 22:49:23.194546 [scalapnt_fractal_2000_cellbound_heuristic] BEGIN_TRANSACTION
21/07/2013 22:49:29.165724 [scalapnt_fractal_2000_cellbound_heuristic] initialized
21/07/2013 22:49:29.166114 [scalapnt_fractal_2000_cellbound_heuristic] solver "heuristic"
21/07/2013 22:49:29.166429 [scalapnt_fractal_2000_cellbound_heuristic] constraints "cellbound(16,)"
21/07/2013 22:49:29.169206 [scalapnt_fractal_2000_cellbound_heuristic] inputstats {'geometry_types': ['POINT'], 'input': '(select * from pnt_30m_synthetic where x_order <= 2000) t', 'total_rank': 990.65258200513199, 'total_recs': 2000L}
21/07/2013 22:49:29.171795 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 9
21/07/2013 22:49:29.522618 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 9
21/07/2013 22:49:29.580981 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 9
21/07/2013 22:49:29.582208 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 9
21/07/2013 22:49:29.584696 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 8
