21/07/2013 16:40:33.949594 [scalalin_riversandstreams_1000_proximity_lp] solver "lp"
21/07/2013 16:40:33.949928 [scalalin_riversandstreams_1000_proximity_lp] constraints "proximity(10,)"
21/07/2013 16:40:34.004778 [scalalin_riversandstreams_1000_proximity_lp] inputstats {'geometry_types': ['MULTILINESTRING'], 'input': '(select * from lin_30k_uswaterway where x_order <= 1000) t', 'total_rank': 113991.67158124903, 'total_recs': 1000L}
21/07/2013 16:40:34.007692 [scalalin_riversandstreams_1000_proximity_lp] initialized_level 9
21/07/2013 16:55:58.112763 [scalalin_riversandstreams_1000_proximity_lp] found_conflicts 9
21/07/2013 16:56:12.060015 [scalalin_riversandstreams_1000_proximity_lp] resolved_conflicts 9
21/07/2013 16:56:12.061477 [scalalin_riversandstreams_1000_proximity_lp] finalized_level 9
21/07/2013 16:56:12.064495 [scalalin_riversandstreams_1000_proximity_lp] initialized_level 8
21/07/2013 16:56:12.073692 [scalalin_riversandstreams_1000_proximity_lp] found_conflicts 8
21/07/2013 16:56:12.077414 [scalalin_riversandstreams_1000_proximity_lp] resolved_conflicts 8
21/07/2013 16:56:12.078579 [scalalin_riversandstreams_1000_proximity_lp] finalized_level 8
21/07/2013 16:56:12.080898 [scalalin_riversandstreams_1000_proximity_lp] initialized_level 7
21/07/2013 16:56:12.091724 [scalalin_riversandstreams_1000_proximity_lp] found_conflicts 7
21/07/2013 16:56:12.096067 [scalalin_riversandstreams_1000_proximity_lp] resolved_conflicts 7
21/07/2013 16:56:12.097206 [scalalin_riversandstreams_1000_proximity_lp] finalized_level 7
21/07/2013 16:56:12.099527 [scalalin_riversandstreams_1000_proximity_lp] initialized_level 6
21/07/2013 16:56:12.113683 [scalalin_riversandstreams_1000_proximity_lp] found_conflicts 6
21/07/2013 16:56:12.117939 [scalalin_riversandstreams_1000_proximity_lp] resolved_conflicts 6
21/07/2013 16:56:12.119109 [scalalin_riversandstreams_1000_proximity_lp] finalized_level 6
21/07/2013 16:56:12.121461 [scalalin_riversandstreams_1000_proximity_lp] initialized_level 5
21/07/2013 16:56:12.132740 [scalalin_riversandstreams_1000_proximity_lp] found_conflicts 5
21/07/2013 16:56:12.136786 [scalalin_riversandstreams_1000_proximity_lp] resolved_conflicts 5
21/07/2013 16:56:12.137958 [scalalin_riversandstreams_1000_proximity_lp] finalized_level 5
21/07/2013 16:56:12.140262 [scalalin_riversandstreams_1000_proximity_lp] initialized_level 4
21/07/2013 16:56:12.147572 [scalalin_riversandstreams_1000_proximity_lp] found_conflicts 4
21/07/2013 16:56:12.151515 [scalalin_riversandstreams_1000_proximity_lp] resolved_conflicts 4
21/07/2013 16:56:12.152666 [scalalin_riversandstreams_1000_proximity_lp] finalized_level 4
21/07/2013 16:56:12.155057 [scalalin_riversandstreams_1000_proximity_lp] initialized_level 3
21/07/2013 16:56:12.160696 [scalalin_riversandstreams_1000_proximity_lp] found_conflicts 3
21/07/2013 16:56:12.164300 [scalalin_riversandstreams_1000_proximity_lp] resolved_conflicts 3
21/07/2013 16:56:12.165456 [scalalin_riversandstreams_1000_proximity_lp] finalized_level 3
21/07/2013 16:56:12.167840 [scalalin_riversandstreams_1000_proximity_lp] initialized_level 2
21/07/2013 16:56:12.172393 [scalalin_riversandstreams_1000_proximity_lp] found_conflicts 2
21/07/2013 16:56:12.176400 [scalalin_riversandstreams_1000_proximity_lp] resolved_conflicts 2
21/07/2013 16:56:12.177560 [scalalin_riversandstreams_1000_proximity_lp] finalized_level 2
21/07/2013 16:56:12.180082 [scalalin_riversandstreams_1000_proximity_lp] initialized_level 1
21/07/2013 16:56:12.183751 [scalalin_riversandstreams_1000_proximity_lp] found_conflicts 1
21/07/2013 16:56:12.187290 [scalalin_riversandstreams_1000_proximity_lp] resolved_conflicts 1
21/07/2013 16:56:12.188459 [scalalin_riversandstreams_1000_proximity_lp] finalized_level 1
21/07/2013 16:56:12.190866 [scalalin_riversandstreams_1000_proximity_lp] initialized_level 0
21/07/2013 16:56:12.192913 [scalalin_riversandstreams_1000_proximity_lp] found_conflicts 0
21/07/2013 16:56:12.194159 [scalalin_riversandstreams_1000_proximity_lp] resolved_conflicts 0
21/07/2013 16:56:12.195311 [scalalin_riversandstreams_1000_proximity_lp] finalized_level 0
21/07/2013 16:56:12.353149 [scalalin_riversandstreams_1000_proximity_lp] COMMIT
21/07/2013 16:56:36.376443 [scalalin_riversandstreams_2000_proximity_heuristic] BEGIN_TRANSACTION
21/07/2013 16:56:37.257076 [scalalin_riversandstreams_2000_proximity_heuristic] initialized
21/07/2013 16:56:37.257450 [scalalin_riversandstreams_2000_proximity_heuristic] solver "heuristic"
21/07/2013 16:56:37.257760 [scalalin_riversandstreams_2000_proximity_heuristic] constraints "proximity(10,)"
21/07/2013 16:56:37.334845 [scalalin_riversandstreams_2000_proximity_heuristic] inputstats {'geometry_types': ['MULTILINESTRING'], 'input': '(select * from lin_30k_uswaterway where x_order <= 2000) t', 'total_rank': 158985.00559253249, 'total_recs': 2000L}
21/07/2013 16:56:37.337769 [scalalin_riversandstreams_2000_proximity_heuristic] initialized_level 9
21/07/2013 17:27:54.145126 [scalalin_riversandstreams_2000_proximity_heuristic] found_conflicts 9
21/07/2013 17:27:54.388056 [scalalin_riversandstreams_2000_proximity_heuristic] resolved_conflicts 9
21/07/2013 17:27:54.389553 [scalalin_riversandstreams_2000_proximity_heuristic] finalized_level 9
21/07/2013 17:27:54.392686 [scalalin_riversandstreams_2000_proximity_heuristic] initialized_level 8
21/07/2013 17:27:54.904165 [scalalin_riversandstreams_2000_proximity_heuristic] found_conflicts 8
21/07/2013 17:27:54.905721 [scalalin_riversandstreams_2000_proximity_heuristic] resolved_conflicts 8
21/07/2013 17:27:54.906972 [scalalin_riversandstreams_2000_proximity_heuristic] finalized_level 8
21/07/2013 17:27:54.909475 [scalalin_riversandstreams_2000_proximity_heuristic] initialized_level 7
21/07/2013 17:27:55.405600 [scalalin_riversandstreams_2000_proximity_heuristic] found_conflicts 7
21/07/2013 17:27:55.407447 [scalalin_riversandstreams_2000_proximity_heuristic] resolved_conflicts 7
21/07/2013 17:27:55.408731 [scalalin_riversandstreams_2000_proximity_heuristic] finalized_level 7
21/07/2013 17:27:55.411253 [scalalin_riversandstreams_2000_proximity_heuristic] initialized_level 6
21/07/2013 17:27:55.823695 [scalalin_riversandstreams_2000_proximity_heuristic] found_conflicts 6
21/07/2013 17:27:55.825493 [scalalin_riversandstreams_2000_proximity_heuristic] resolved_conflicts 6
21/07/2013 17:27:55.826739 [scalalin_riversandstreams_2000_proximity_heuristic] finalized_level 6
21/07/2013 17:27:55.829234 [scalalin_riversandstreams_2000_proximity_heuristic] initialized_level 5
21/07/2013 17:27:56.148183 [scalalin_riversandstreams_2000_proximity_heuristic] found_conflicts 5
21/07/2013 17:27:56.149864 [scalalin_riversandstreams_2000_proximity_heuristic] resolved_conflicts 5
21/07/2013 17:27:56.151009 [scalalin_riversandstreams_2000_proximity_heuristic] finalized_level 5
21/07/2013 17:27:56.153370 [scalalin_riversandstreams_2000_proximity_heuristic] initialized_level 4
21/07/2013 17:27:56.258225 [scalalin_riversandstreams_2000_proximity_heuristic] found_conflicts 4
21/07/2013 17:27:56.259598 [scalalin_riversandstreams_2000_proximity_heuristic] resolved_conflicts 4
21/07/2013 17:27:56.260764 [scalalin_riversandstreams_2000_proximity_heuristic] finalized_level 4
21/07/2013 17:27:56.263185 [scalalin_riversandstreams_2000_proximity_heuristic] initialized_level 3
21/07/2013 17:27:56.295825 [scalalin_riversandstreams_2000_proximity_heuristic] found_conflicts 3
21/07/2013 17:27:56.296910 [scalalin_riversandstreams_2000_proximity_heuristic] resolved_conflicts 3
21/07/2013 17:27:56.298097 [scalalin_riversandstreams_2000_proximity_heuristic] finalized_level 3
21/07/2013 17:27:56.300438 [scalalin_riversandstreams_2000_proximity_heuristic] initialized_level 2
21/07/2013 17:27:56.305667 [scalalin_riversandstreams_2000_proximity_heuristic] found_conflicts 2
21/07/2013 17:27:56.306594 [scalalin_riversandstreams_2000_proximity_heuristic] resolved_conflicts 2
21/07/2013 17:27:56.307749 [scalalin_riversandstreams_2000_proximity_heuristic] finalized_level 2
21/07/2013 17:27:56.310288 [scalalin_riversandstreams_2000_proximity_heuristic] initialized_level 1
21/07/2013 17:27:56.315504 [scalalin_riversandstreams_2000_proximity_heuristic] found_conflicts 1
21/07/2013 17:27:56.316435 [scalalin_riversandstreams_2000_proximity_heuristic] resolved_conflicts 1
21/07/2013 17:27:56.317588 [scalalin_riversandstreams_2000_proximity_heuristic] finalized_level 1
21/07/2013 17:27:56.320027 [scalalin_riversandstreams_2000_proximity_heuristic] initialized_level 0
21/07/2013 17:27:56.325244 [scalalin_riversandstreams_2000_proximity_heuristic] found_conflicts 0
21/07/2013 17:27:56.326191 [scalalin_riversandstreams_2000_proximity_heuristic] resolved_conflicts 0
21/07/2013 17:27:56.327346 [scalalin_riversandstreams_2000_proximity_heuristic] finalized_level 0
21/07/2013 17:27:56.558197 [scalalin_riversandstreams_2000_proximity_heuristic] COMMIT
21/07/2013 17:27:56.558694 [scalalin_riversandstreams_2000_cellbound_lp] BEGIN_TRANSACTION
21/07/2013 17:27:57.465523 [scalalin_riversandstreams_2000_cellbound_lp] initialized
21/07/2013 17:27:57.465897 [scalalin_riversandstreams_2000_cellbound_lp] solver "lp"
21/07/2013 17:27:57.466207 [scalalin_riversandstreams_2000_cellbound_lp] constraints "cellbound(16,)"
21/07/2013 17:27:57.543321 [scalalin_riversandstreams_2000_cellbound_lp] inputstats {'geometry_types': ['MULTILINESTRING'], 'input': '(select * from lin_30k_uswaterway where x_order <= 2000) t', 'total_rank': 158985.00559253249, 'total_recs': 2000L}
21/07/2013 17:27:57.546392 [scalalin_riversandstreams_2000_cellbound_lp] initialized_level 9
21/07/2013 17:28:07.632892 [scalalin_riversandstreams_2000_cellbound_lp] found_conflicts 9
21/07/2013 17:28:10.603341 [scalalin_riversandstreams_2000_cellbound_lp] resolved_conflicts 9
21/07/2013 17:28:10.604672 [scalalin_riversandstreams_2000_cellbound_lp] finalized_level 9
21/07/2013 17:28:10.607169 [scalalin_riversandstreams_2000_cellbound_lp] initialized_level 8
21/07/2013 17:28:14.037730 [scalalin_riversandstreams_2000_cellbound_lp] found_conflicts 8
21/07/2013 17:28:14.074247 [scalalin_riversandstreams_2000_cellbound_lp] resolved_conflicts 8
21/07/2013 17:28:14.075440 [scalalin_riversandstreams_2000_cellbound_lp] finalized_level 8
21/07/2013 17:28:14.077931 [scalalin_riversandstreams_2000_cellbound_lp] initialized_level 7
21/07/2013 17:28:16.468717 [scalalin_riversandstreams_2000_cellbound_lp] found_conflicts 7
21/07/2013 17:28:16.499108 [scalalin_riversandstreams_2000_cellbound_lp] resolved_conflicts 7
21/07/2013 17:28:16.500274 [scalalin_riversandstreams_2000_cellbound_lp] finalized_level 7
21/07/2013 17:28:16.502714 [scalalin_riversandstreams_2000_cellbound_lp] initialized_level 6
21/07/2013 17:28:18.076940 [scalalin_riversandstreams_2000_cellbound_lp] found_conflicts 6
21/07/2013 17:28:18.089308 [scalalin_riversandstreams_2000_cellbound_lp] resolved_conflicts 6
21/07/2013 17:28:18.090493 [scalalin_riversandstreams_2000_cellbound_lp] finalized_level 6
21/07/2013 17:28:18.092906 [scalalin_riversandstreams_2000_cellbound_lp] initialized_level 5
21/07/2013 17:28:19.220156 [scalalin_riversandstreams_2000_cellbound_lp] found_conflicts 5
21/07/2013 17:28:19.226520 [scalalin_riversandstreams_2000_cellbound_lp] resolved_conflicts 5
21/07/2013 17:28:19.227708 [scalalin_riversandstreams_2000_cellbound_lp] finalized_level 5
21/07/2013 17:28:19.230342 [scalalin_riversandstreams_2000_cellbound_lp] initialized_level 4
